Question,Answer,,,,,,
"How do I add money to my trading account using IMPS, NEFT or RTGS?","Add Finvasia as Payee or beneficiary in your internet banking account. You can transfer funds through NEFT, RTGS, Fund Transfer & IMPS into our virtual account without any additional transaction charges. Funds will be updated instantly once received. 

Please find below virtual account details: https://www.finvasia.com/fund-transfer

Please find below the Youtube video: 

https://youtu.be/2RNoybJylSM",,,,,,
I added funds through SHOONYA but they are not reflecting in my trading account?,"When you transfer funds through SHOONYA, they will reflect instantly in your trading account. You can check under Adhoc limit or Online bank transfer head.",,,,,,
How do I add money using UPI to my trading account?,"You can transfer funds through UPI from the shoonya trading platform. It is an instant and free mode. 

For further guidance please refer to mention UPI fund transfer videos.
Here is the link -
Web - https://youtu.be/2cShZ3gf7Bw
Mobile - https://youtu.be/_v4rlSLLr28
Desktop - https://youtu.be/BQNSA35pnGw",,,,,,
How do I Pay Out ?,"Payout - You can request a payout or withdrawal through the Shoonya Payout option.

Please NOTE:

If you request a payout between 08.30 AM to 5:00 PM, we will process the payout on the same day (subject to the peak margin). It may take up to 24 hours in certain cases as applicable.  

No Payout or withdrawal requests will be processed on Saturday, Sunday, and Exchange Holidays.",,,,,,
How do I Pay In ?,"Pay-in - You can transfer funds through any of the following modes:

1) Trading platform (SHOONYA)

A) Through Payment Gateway: You can directly pay through the Shoonya trading platform through your Internet banking. Funds will be updated instantly. Please find below the youtube video link:

https://youtu.be/2RNoybJylSM

B) Through UPI: You can transfer funds through UPI from the Shoonya trading platform. It is an instant and free mode. For further guidance, please refer to the mention of UPI fund transfer videos.

Here is the link -

Web - https://youtu.be/2cShZ3gf7Bw

Mobile - https://youtu.be/_v4rlSLLr28

Desktop - https://youtu.be/BQNSA35pnGw

2) Through NEFT/RTGS/FT/IMPS: You can transfer funds through NEFT, RTGS, Fund Transfer & IMPS into our virtual account without additional transaction charges. Funds will be updated instantly once received. Please find below the virtual account details: https://shoonya.com/fund-transfer

Please find below the youtube video link:

https://youtu.be/9-kO8rzgMrY



3) Through Cheque: You can deposit a cheque in favour of ""Finvasia Securities Pvt. Ltd."" and drop it in any of the given bank's Dropbox. Please find below details for transferring funds through cheque:

https://shoonya.com/fund-transfer",,,,,,
How do I link a bank account?,"You can link any bank account with your trading account with us by providing us valid proof for the bank account. A Cancelled cheque or 1 month bank statement containing IFSC code & MICR code will be required. Once you have the required documents ready, please raise a request in PRISM. After you have logged in, Select Settings and then choose Add New Bank Account.",,,,,,
How is income tax changes on holdings ?,"As a general rule. there are 2 type of taxes applicable on holdings: Long term capital gain : where the holding period is more than 1 year. There is no tax on Long term capital gain below the amount of 1 lakh. If a seller makes LTCG of more than 1 lakh on sale of equity shares, capital gain tax will be 10%. Short term capital gain: where the holding period is lesser than 1 year, the capital gain tax will be 15%. Kindly consult your tax profession for personalized advice. The above content is just for information purposes.",,,,,,
Can I link joint bank accounts with my Shoonya account?,Yes you can link joint bank accounts with your account.,,,,,,
How do I change my primary bank account linked with Shoonya?,Please raise a ticket on PRISM to change the primary bank account. Bank will be updated within 48 working hours.. ,,,,,,
"How to change or add a new bank account?
",You can request to add or change a new bank account from PRISM. Select Settings from the left menu and choose add new bank account. Please note that you will need to attach a cancelled cheque along with change request.,,,,,,
Which bank accounts should i use to fund my account with Shoonya?,You can use any mapped bank to fund your trading account .,,,,,,
What is RAZORPAY?,"It is a third-party application used to authorize and verify payments made to an online retailer. When you use an electronic medium to transfer funds using Credit Cards, Debits Cards, or Net banking / UPI, etc your Retailer or Seller uses a third party application to securely verify and authorize your payments made to his bank account. These services are available in the market from various vendors. These vendors provide the services at a nominal fee per transaction.
",,,,,,
What is Virtual Account?,"It's a unique account number provided to all clients based on their client code. You can conveniently transfer funds through NEFT, RTGS, Fund Transfer & IMPS into these virtual accounts without any additional transaction charges. 

Please Note:
For Pay-in- Starting July 1, 2023, Pay-in requests will only be accepted until 5:30 pm on active trading days through all payment modes. Any pay-in request received even after 5.30 pm through NEFT, RTGS, Fund Transfer & IMPS into Shoonya’s virtual account will be processed. However, it is important to note that the funds will only be available in your trading account on the next active trading day.



For more details about fund transfers and Virtual Accounts, you can visit:

https://shoonya.com/fund-transfer

",,,,,,
How to do pay-in and payout ?,"Pay-in: You can transfer these funds through any of the following modes for Pay-ins:

1) Trading platform (SHOONYA)
a) Through Payment Gateway 
b) Through UPI
2) Through NEFT/RTGS/FT/IMPS: 
You can transfer funds through NEFT, RTGS, Fund Transfer & IMPS into our virtual account without additional transaction charges. 
Please find below the virtual account details: https://shoonya.com/fund-transfer. 
3) Through Cheque: 
You can deposit a cheque in favour of ""Finvasia Securities Pvt. Ltd."" and drop it in any of the given bank's Dropbox. Please find below details for transferring funds through cheque: https://shoonya.com/fund-transfer
Please note:  Starting July 1, 2023, Pay-in requests will only be accepted until 5:30 pm on active trading days through all payment modes. Any pay-in request received even after 5.30 pm through NEFT, RTGS, Fund Transfer & IMPS into Shoonya’s virtual account will be processed. However, it is important to note that the funds will only be available in your trading account on the next active trading day.
Pay-out
Payout - You can request a payout or withdrawal through the Shoonya trading platform.Please Note:

-Starting July 1, 2023, Pay-out requests will only be accepted from 8:30 am until 5:30 pm on active trading days. All the payout requests received till 5.30 pm shall be released on the same day (subject to the peak margin). It may take up to 24 hours in certain cases as applicable. 

-No Pay-out or withdrawal requests will be processed on Saturday, Sunday, and Exchange Holidays. 


",,,,,,
